"FECHA","Calle","Carrera","Descripcion","Mov","Origen","Destino","Periodo","Peaton","Particular","Taxi","Motociclista","Bus","Camion","Minivan","Ciclista","Tractomula"
13022020,"AC127","AK11","sentido unico",2,"Sur",,"05:00:00",0,1,0,0,0,0,0,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"05:05:00",0,5,0,0,0,0,0,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"05:10:00",0,2,0,1,0,0,0,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"05:15:00",0,2,0,0,0,0,0,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"05:20:00",0,10,0,0,0,0,0,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"05:25:00",0,11,0,0,0,0,0,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"05:30:00",0,5,0,0,0,0,0,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"05:35:00",0,8,0,0,2,0,0,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"05:40:00",0,18,0,0,0,0,1,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"05:45:00",0,17,0,0,0,0,3,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"05:50:00",0,24,0,0,1,0,3,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"05:55:00",0,23,6,0,1,0,2,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"06:00:00",2,21,4,3,1,0,0,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"06:05:00",0,25,6,0,0,0,2,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"06:10:00",0,26,3,2,2,0,3,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"06:15:00",0,26,3,4,0,0,5,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"06:20:00",0,28,2,4,1,2,2,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"06:25:00",1,28,5,1,1,0,1,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"06:30:00",1,30,6,0,1,0,3,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"06:35:00",0,27,5,3,1,0,3,3,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"06:40:00",3,35,4,0,3,0,1,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"06:45:00",1,48,10,9,2,1,5,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"06:50:00",3,46,8,9,3,0,2,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"06:55:00",1,54,7,12,1,2,4,3,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"07:00:00",0,49,11,5,1,0,3,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"07:05:00",0,69,8,6,1,2,4,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"07:10:00",1,64,12,6,2,0,1,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"07:15:00",3,78,10,6,2,1,4,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"07:20:00",1,67,7,7,0,0,1,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"07:25:00",0,73,11,9,0,0,1,3,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"07:30:00",0,49,9,6,2,0,3,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"07:35:00",0,60,13,4,1,0,3,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"07:40:00",0,62,8,11,0,1,1,3,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"07:45:00",5,83,11,12,1,0,3,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"07:50:00",3,65,14,8,1,0,3,3,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"07:55:00",2,84,9,14,0,2,1,4,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"08:00:00",2,80,16,7,0,2,4,3,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"08:05:00",1,72,13,6,0,3,0,7,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"08:10:00",1,75,12,12,0,1,1,3,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"08:15:00",1,73,23,9,0,0,1,4,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"08:20:00",1,61,9,3,0,1,3,4,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"08:25:00",0,44,12,5,0,1,1,3,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"08:30:00",2,58,10,8,0,0,2,3,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"08:35:00",1,62,6,7,0,0,2,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"08:40:00",0,70,6,6,0,0,1,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"08:45:00",2,82,8,10,0,0,1,3,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"08:50:00",0,78,6,6,0,0,0,4,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"08:55:00",1,69,10,6,0,1,2,3,1
13022020,"AC127","AK11","sentido unico",2,"Sur",,"09:00:00",1,58,15,7,0,2,1,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"09:05:00",2,49,8,8,0,0,3,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"09:10:00",0,52,5,4,0,1,1,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"09:15:00",0,42,12,9,0,1,0,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"09:20:00",0,50,10,7,1,5,2,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"09:25:00",0,65,11,4,0,1,0,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"09:30:00",1,57,7,5,0,1,5,1,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"09:35:00",1,62,7,3,0,0,3,2,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"09:40:00",0,53,3,7,0,1,2,0,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"09:45:00",0,56,10,2,1,1,3,4,0
13022020,"AC127","AK11","sentido unico",2,"Sur",,"09:50:00",3,41,9,7,0,0,0,4,0
