"FECHA","Calle","Carrera","Descripcion","Mov","Origen","Destino","Periodo","Peaton","Particular","Taxi","Motociclista","Bus","Camion","Minivan","Ciclista","Tractomula"
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","05:00:03",0,39,0,9,2,1,0,0,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","05:15:03",0,65,0,12,4,1,2,2,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","05:30:00",2,58,0,20,12,8,1,0,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","05:45:05",0,135,5,30,18,8,3,1,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","06:00:01",0,182,27,32,23,9,19,5,2
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","06:15:06",2,225,47,44,17,5,17,9,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","06:30:05",1,366,71,73,24,11,24,4,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","06:45:02",0,325,71,75,16,6,15,4,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","07:00:07",2,329,54,77,8,7,19,2,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","07:15:03",3,375,73,80,13,7,15,4,1
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","07:30:00",7,405,88,81,17,5,7,4,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","07:45:03",2,325,77,76,21,5,3,2,1
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","08:00:02",1,336,109,83,15,7,9,0,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","08:15:04",0,354,94,67,6,6,5,1,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","08:30:05",1,391,109,57,18,15,4,0,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","08:45:02",2,416,78,63,16,8,2,2,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","09:00:00",3,342,76,59,13,9,5,0,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","09:15:06",1,353,87,65,11,10,5,4,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","09:30:01",1,302,74,73,15,8,7,2,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","09:45:00",2,327,87,54,19,8,5,0,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","15:00:04",2,257,66,65,13,7,9,4,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","15:15:02",1,217,65,50,12,8,9,5,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","15:30:04",2,254,71,68,9,9,17,6,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","15:45:02",0,222,58,68,18,9,14,5,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","16:00:01",1,274,71,72,22,9,18,9,1
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","16:15:02",1,318,65,98,15,7,18,11,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","16:30:00",0,280,56,81,20,7,18,15,1
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","16:45:05",1,282,65,73,17,9,6,9,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","17:00:03",0,300,52,95,9,7,9,14,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","17:15:03",1,254,73,99,16,4,15,30,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","17:30:00",0,278,57,100,17,3,13,10,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","17:45:07",0,291,57,97,10,2,7,15,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","18:00:02",1,300,50,91,19,1,5,12,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","18:15:05",4,325,47,123,9,0,7,19,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","18:30:01",7,225,16,60,10,6,3,10,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","18:45:04",5,195,14,50,14,2,2,5,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","19:00:04",2,207,21,43,8,2,6,9,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","19:15:01",7,177,16,39,9,1,5,13,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","19:30:05",0,217,19,35,9,3,2,3,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","19:45:00",3,249,31,41,8,3,10,3,0
13022020,"CL127","KR9","sentido unico",4,"Oriente","Occidente","20:00:00",0,210,16,29,9,1,7,4,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","05:00:03",0,3,0,0,1,0,2,0,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","05:15:03",0,3,0,2,0,0,1,0,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","05:30:00",0,0,0,0,1,0,0,0,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","05:45:05",5,3,0,0,3,0,0,0,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","06:00:01",25,2,3,4,3,1,0,2,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","06:15:06",33,8,3,0,1,1,2,2,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","06:30:05",32,6,8,4,1,0,2,2,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","06:45:02",33,11,4,4,0,1,1,1,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","07:00:07",40,9,3,2,1,0,0,2,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","07:15:03",24,8,8,2,0,0,0,1,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","07:30:00",33,10,8,10,2,0,0,1,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","07:45:03",32,16,8,2,0,0,0,2,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","08:00:02",22,10,12,5,0,1,0,2,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","08:15:04",18,9,7,2,0,3,0,1,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","08:30:05",7,12,6,4,0,0,1,1,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","08:45:02",5,7,4,10,0,0,1,3,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","09:00:00",7,12,9,8,0,1,0,0,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","09:15:06",5,4,5,4,0,0,0,2,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","09:30:01",10,16,6,5,0,2,0,0,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","09:45:00",26,12,7,7,0,0,1,0,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","15:00:04",4,15,10,4,0,1,1,3,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","15:15:02",29,9,6,6,0,2,1,3,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","15:30:04",69,8,7,4,0,2,1,2,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","15:45:02",66,4,7,2,2,0,0,6,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","16:00:01",56,15,7,5,3,0,0,1,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","16:15:02",62,16,6,6,4,2,1,9,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","16:30:00",36,5,1,9,0,0,0,4,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","16:45:05",26,10,11,4,0,0,2,1,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","17:00:03",49,6,4,4,0,0,1,3,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","17:15:03",40,4,4,7,0,1,1,3,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","17:30:00",54,16,2,7,0,0,0,4,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","17:45:07",44,5,4,8,0,1,0,3,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","18:00:02",50,8,2,5,2,1,0,4,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","18:15:05",49,11,2,5,1,0,0,5,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","18:30:01",19,7,2,10,0,0,0,1,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","18:45:04",11,10,3,2,0,0,0,4,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","19:00:04",9,6,1,5,0,0,0,2,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","19:15:01",6,9,3,3,0,0,0,2,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","19:30:05",6,8,0,4,0,0,0,1,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","19:45:00",5,4,2,4,0,0,0,2,0
13022020,"CL127","KR9","otro",94,"Oriente","Norte","20:00:00",2,6,2,0,0,0,0,0,0
