etiqueta;acumulado;frame;tiempo;
bus;1.0;266.666666667;8
particular;1.0;3200.0;96
bus;2.0;4900.0;147
particular;2.0;5533.33333333;166
motociclista;1.0;7066.66666667;212
particular;3.0;8433.33333333;253
ciclista;1.0;8600.0;258
particular;4.0;14900.0;447
ciclista;2.0;17166.6666667;515
particular;5.0;17266.6666667;518
particular;6.0;21500.0;645
particular;7.0;24966.6666667;749
particular;8.0;26766.6666667;803
particular;9.0;28366.6666667;851
particular;10.0;32666.6666667;980
particular;11.0;34100.0;1023
particular;12.0;36300.0;1089
motociclista;2.0;40233.3333333;1207
particular;13.0;41800.0;1254
particular;14.0;41966.6666667;1259
ciclista;3.0;48333.3333333;1450
motociclista;3.0;50633.3333333;1519
particular;15.0;54566.6666667;1637
taxi;1.0;61666.6666667;1850
particular;16.0;66166.6666667;1985
bus;3.0;68500.0;2055
particular;17.0;69600.0;2088
ciclista;4.0;72900.0;2187
motociclista;4.0;83500.0;2505
camion;1.0;87033.3333333;2611
camion;2.0;87066.6666667;2612
bus;4.0;92266.6666667;2768
camion;3.0;96233.3333333;2887
ciclista;5.0;96700.0;2901
ciclista;6.0;96700.0;2901
particular;18.0;100866.666667;3026
particular;19.0;102633.333333;3079
ciclista;7.0;104466.666667;3134
ciclista;8.0;104866.666667;3146
particular;20.0;106466.666667;3194
minivan;1.0;110966.666667;3329
particular;21.0;113533.333333;3406
ciclista;9.0;114500.0;3435
bus;5.0;114866.666667;3446
particular;22.0;117166.666667;3515
particular;23.0;118066.666667;3542
motociclista;5.0;118900.0;3567
motociclista;6.0;119300.0;3579
particular;24.0;120133.333333;3604
ciclista;10.0;122400.0;3672
particular;25.0;125500.0;3765
particular;26.0;126200.0;3786
particular;27.0;126900.0;3807
particular;28.0;130700.0;3921
particular;29.0;139366.666667;4181
particular;30.0;140733.333333;4222
particular;31.0;142300.0;4269
ciclista;11.0;148600.0;4458
motociclista;7.0;152466.666667;4574
particular;32.0;156633.333333;4699
particular;33.0;158133.333333;4744
particular;34.0;159066.666667;4772
motociclista;8.0;160433.333333;4813
ciclista;12.0;160566.666667;4817
motociclista;9.0;163300.0;4899
peaton;1.0;164733.333333;4942
particular;35.0;169433.333333;5083
motociclista;10.0;171633.333333;5149
motociclista;11.0;171733.333333;5152
particular;36.0;177900.0;5337
ciclista;13.0;184666.666667;5540
ciclista;14.0;185466.666667;5564
particular;37.0;186366.666667;5591
particular;38.0;192733.333333;5782
minivan;2.0;192833.333333;5785
particular;39.0;194233.333333;5827


Conteo definitivo;ambos sentidos
etiqueta;conteo;tiempo;
peaton;1.0;300.1
particular;39.0;300.1
taxi;1.0;300.1
motociclista;11.0;300.1
bus;5.0;300.1
camion;3.0;300.1
minivan;2.0;300.1
ciclista;14.0;300.1
tractomula;0.0;300.1
scooter;0.0;300.1
bicitaxi;0.0;300.1


Conteo definitivo;direccion positiva
etiqueta;conteo;tiempo;
peaton;0.0;300.1
particular;0.0;300.1
taxi;0.0;300.1
motociclista;0.0;300.1
bus;0.0;300.1
camion;0.0;300.1
minivan;0.0;300.1
ciclista;0.0;300.1
tractomula;0.0;300.1
scooter;0.0;300.1
bicitaxi;0.0;300.1


Conteo definitivo;direccion negativa
etiqueta;conteo;tiempo;
peaton;1.0;300.1
particular;39.0;300.1
taxi;1.0;300.1
motociclista;11.0;300.1
bus;5.0;300.1
camion;3.0;300.1
minivan;2.0;300.1
ciclista;14.0;300.1
tractomula;0.0;300.1
scooter;0.0;300.1
bicitaxi;0.0;300.1
Fin de archivo;
AYUDA;manual  ; en ;https://docs.google.com/document/d/1Y2eYLjje2taNnJwVAONLIpsGVm4aj8_jssrNITejFd0/edit?usp=sharing
