FECHA,Calle,Carrera,Movimiento ,Acceso,Salida,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,Scooter,Bicitaxi,
22022020,12B,71D,21,Occidente,Oriente,06:00:00,5,1,0,2,0,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,06:15:00,10,4,0,0,0,0,0,1,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,06:30:00,0,0,0,0,0,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,06:45:00,8,6,0,3,0,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,07:00:00,8,13,1,1,0,0,0,1,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,07:15:00,8,3,0,2,0,0,0,1,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,07:30:00,9,8,0,2,0,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,07:45:00,6,3,0,3,0,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,08:00:00,8,5,1,4,0,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,08:15:00,11,9,0,0,0,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,08:30:00,11,3,0,3,0,0,0,1,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,08:45:00,10,2,0,1,0,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,09:00:00,9,5,0,1,0,0,0,1,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,09:15:00,10,8,0,0,0,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,09:30:00,7,1,0,1,0,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,09:45:00,8,8,0,1,0,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,10:00:00,9,6,0,1,0,0,0,2,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,10:15:00,5,9,0,0,0,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,10:30:00,5,2,1,0,0,0,0,1,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,10:45:00,6,4,0,0,0,0,0,1,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,11:00:00,10,4,0,2,0,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,11:15:00,14,14,5,1,0,0,0,1,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,11:30:00,2,14,1,0,0,0,0,1,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,11:45:00,5,8,0,1,1,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,12:00:00,18,8,1,0,0,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,12:15:00,4,23,0,5,0,0,0,2,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,12:30:00,11,6,0,8,0,0,0,1,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,12:45:00,20,19,1,4,0,0,0,2,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,13:00:00,7,17,1,1,0,0,0,1,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,13:15:00,9,8,0,2,0,0,0,3,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,13:30:00,6,11,1,4,0,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,13:45:00,18,12,2,4,0,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,14:00:00,8,16,1,4,1,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,14:15:00,20,16,0,3,0,0,1,1,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,14:30:00,10,16,0,3,0,0,0,0,0,0,0,
22022020,12B,71D,21,Occidente,Oriente,14:45:00,11,15,2,4,0,0,0,0,0,0,0,
