etiqueta;acumulado;frame;tiempo;
particular;1.0;2300.0;69
particular;2.0;11566.6666667;347
particular;3.0;15733.3333333;472
particular;4.0;18300.0;549
minivan;1.0;20500.0;615
particular;5.0;24133.3333333;724
taxi;1.0;27600.0;828
particular;6.0;40966.6666667;1229
bus;1.0;53666.6666667;1610
ciclista;1.0;54833.3333333;1645
taxi;2.0;65233.3333333;1957
particular;7.0;69566.6666667;2087
particular;8.0;72766.6666667;2183
ciclista;2.0;72900.0;2187
ciclista;3.0;73500.0;2205
particular;9.0;78333.3333333;2350
particular;10.0;81333.3333333;2440
particular;11.0;83366.6666667;2501
particular;12.0;96233.3333333;2887
particular;13.0;109833.333333;3295
taxi;3.0;123600.0;3708
particular;14.0;127900.0;3837
peaton;1.0;135166.666667;4055
particular;15.0;162433.333333;4873
ciclista;4.0;166500.0;4995
particular;16.0;167766.666667;5033
particular;17.0;172366.666667;5171
particular;18.0;174366.666667;5231
bus;2.0;190000.0;5700
particular;19.0;190800.0;5724
particular;20.0;192500.0;5775
peaton;2.0;198300.0;5949
motociclista;1.0;202300.0;6069
ciclista;5.0;204533.333333;6136
particular;21.0;220566.666667;6617
peaton;3.0;222833.333333;6685
peaton;4.0;223133.333333;6694
particular;22.0;235000.0;7050
motociclista;2.0;237633.333333;7129
particular;23.0;243433.333333;7303
particular;24.0;248566.666667;7457
motociclista;3.0;251933.333333;7558
particular;25.0;259900.0;7797
particular;26.0;263100.0;7893
taxi;4.0;268733.333333;8062
particular;27.0;270600.0;8118
particular;28.0;274033.333333;8221
particular;29.0;281933.333333;8458
taxi;5.0;284233.333333;8527
particular;30.0;292433.333333;8773
particular;31.0;295200.0;8856
taxi;6.0;299166.666667;8975
ciclista;6.0;305633.333333;9169
particular;32.0;311266.666667;9338
particular;33.0;320166.666667;9605
motociclista;4.0;322866.666667;9686
particular;34.0;352633.333333;10579
particular;35.0;357866.666667;10736
motociclista;5.0;359733.333333;10792
particular;36.0;367233.333333;11017
particular;37.0;377133.333333;11314
peaton;5.0;377266.666667;11318
particular;38.0;385366.666667;11561
ciclista;7.0;386566.666667;11597
motociclista;6.0;386566.666667;11597
ciclista;8.0;387566.666667;11627
particular;39.0;401166.666667;12035
particular;40.0;413300.0;12399
particular;41.0;418833.333333;12565
particular;42.0;437133.333333;13114
particular;43.0;439000.0;13170
particular;44.0;448566.666667;13457
motociclista;7.0;450666.666667;13520
particular;45.0;455700.0;13671
motociclista;8.0;457966.666667;13739
motociclista;9.0;461566.666667;13847
taxi;7.0;467300.0;14019
particular;46.0;481333.333333;14440
ciclista;9.0;490666.666667;14720
particular;47.0;501800.0;15054
particular;48.0;503166.666667;15095
particular;49.0;503300.0;15099
particular;50.0;523266.666667;15698


Conteo definitivo;ambos sentidos
etiqueta;conteo;tiempo;
peaton;5.0;792.5
particular;50.0;792.5
taxi;7.0;792.5
motociclista;9.0;792.5
bus;2.0;792.5
camion;0.0;792.5
minivan;1.0;792.5
ciclista;9.0;792.5
tractomula;0.0;792.5
scooter;0.0;792.5
bicitaxi;0.0;792.5


Conteo definitivo;direccion positiva
etiqueta;conteo;tiempo;
peaton;0.0;792.5
particular;1.0;792.5
taxi;0.0;792.5
motociclista;0.0;792.5
bus;0.0;792.5
camion;0.0;792.5
minivan;0.0;792.5
ciclista;0.0;792.5
tractomula;0.0;792.5
scooter;0.0;792.5
bicitaxi;0.0;792.5


Conteo definitivo;direccion negativa
etiqueta;conteo;tiempo;
peaton;5.0;792.5
particular;49.0;792.5
taxi;7.0;792.5
motociclista;9.0;792.5
bus;2.0;792.5
camion;0.0;792.5
minivan;1.0;792.5
ciclista;9.0;792.5
tractomula;0.0;792.5
scooter;0.0;792.5
bicitaxi;0.0;792.5
Fin de archivo;
AYUDA;manual  ; en ;https://docs.google.com/document/d/1Y2eYLjje2taNnJwVAONLIpsGVm4aj8_jssrNITejFd0/edit?usp=sharing
