etiqueta;acumulado;frame;tiempo;
camion;1.0;9800.0;294
motociclista;1.0;34900.0;1047
particular;1.0;52233.3333333;1567
camion;2.0;52433.3333333;1573
particular;2.0;58366.6666667;1751
particular;3.0;65200.0;1956
taxi;1.0;68333.3333333;2050
particular;4.0;91366.6666667;2741
minivan;1.0;94900.0;2847
bus;1.0;102233.333333;3067
bus;2.0;136133.333333;4084
motociclista;2.0;160200.0;4806
particular;5.0;160866.666667;4826
bus;3.0;175833.333333;5275
particular;6.0;200933.333333;6028
particular;7.0;203366.666667;6101
particular;8.0;216733.333333;6502
particular;9.0;239966.666667;7199
particular;10.0;274533.333333;8236
taxi;2.0;290633.333333;8719
particular;11.0;294800.0;8844
minivan;2.0;306300.0;9189
taxi;3.0;318733.333333;9562
particular;12.0;326600.0;9798
camion;3.0;335033.333333;10051
ciclista;1.0;337933.333333;10138
particular;13.0;357566.666667;10727
particular;14.0;453866.666667;13616
minivan;3.0;482566.666667;14477


Conteo definitivo;ambos sentidos
etiqueta;conteo;tiempo;
peaton;0.0;740.65
particular;14.0;740.65
taxi;3.0;740.65
motociclista;2.0;740.65
bus;3.0;740.65
camion;3.0;740.65
minivan;3.0;740.65
ciclista;1.0;740.65
tractomula;0.0;740.65
scooter;0.0;740.65
bicitaxi;0.0;740.65
Fin de archivo;
AYUDA;manual  ; en ;https://docs.google.com/document/d/1Y2eYLjje2taNnJwVAONLIpsGVm4aj8_jssrNITejFd0/edit?usp=sharing
