FECHA,Calle,Carrera,Movimiento ,Acceso,Salida,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,Scooter,Bicitaxi,
25022020,15,72,SNR,Norte,,06:00:00,3,62,10,54,2,1,4,0,1,0,0,
25022020,15,72,SNR,Norte,,06:05:00,7,100,13,58,6,1,4,2,0,0,0,
25022020,15,72,SNR,Norte,,06:10:00,2,85,13,79,2,5,5,1,0,0,0,
25022020,15,72,SNR,Norte,,06:15:00,4,111,19,90,7,8,14,1,0,0,0,
25022020,15,72,SNR,Norte,,06:20:00,11,117,18,87,2,3,12,5,3,0,0,
25022020,15,72,SNR,Norte,,06:25:00,8,90,18,102,5,4,15,2,0,0,0,
25022020,15,72,SNR,Norte,,06:30:00,9,97,24,183,7,9,13,8,1,0,0,
25022020,15,72,SNR,Norte,,06:35:00,11,95,13,185,3,7,9,15,0,0,0,
25022020,15,72,SNR,Norte,,06:40:00,4,92,16,241,5,8,14,21,0,0,0,
25022020,15,72,SNR,Norte,,06:45:00,10,103,13,253,4,15,17,16,0,0,0,
25022020,15,72,SNR,Norte,,06:50:00,5,85,22,177,8,5,16,11,0,0,0,
25022020,15,72,SNR,Norte,,06:55:00,5,90,18,255,3,9,17,7,1,0,0,
25022020,15,72,SNR,Norte,,07:00:00,2,84,11,205,7,6,7,23,0,0,0,
25022020,15,72,SNR,Norte,,07:05:00,1,122,16,263,9,9,14,8,0,0,0,
25022020,15,72,SNR,Norte,,07:10:00,2,103,20,205,2,4,8,11,0,0,0,
25022020,15,72,SNR,Norte,,07:15:00,3,110,24,215,5,14,6,10,0,0,0,
25022020,15,72,SNR,Norte,,07:20:00,0,121,11,217,0,10,8,15,0,0,0,
25022020,15,72,SNR,Norte,,07:25:00,0,94,12,198,3,7,8,18,0,0,0,
25022020,15,72,SNR,Norte,,07:30:00,1,113,23,235,4,10,8,7,0,0,0,
25022020,15,72,SNR,Norte,,07:35:00,1,114,20,229,3,8,5,15,0,0,0,
25022020,15,72,SNR,Norte,,07:40:00,1,101,24,219,5,8,9,6,0,0,0,
25022020,15,72,SNR,Norte,,07:45:00,1,99,9,193,1,7,6,17,0,0,0,
25022020,15,72,SNR,Norte,,07:50:00,0,154,32,256,6,8,15,8,1,0,0,
25022020,15,72,SNR,Norte,,07:55:00,1,93,30,219,7,10,9,8,0,0,0,
25022020,15,72,SNR,Norte,,08:00:00,0,74,27,165,3,9,10,1,0,0,0,
25022020,15,72,SNR,Norte,,08:05:00,1,93,38,201,8,15,14,7,0,0,0,
25022020,15,72,SNR,Norte,,08:10:00,0,103,16,136,7,15,10,5,0,0,0,
25022020,15,72,SNR,Norte,,08:15:00,0,105,19,138,2,13,13,7,1,0,0,
25022020,15,72,SNR,Norte,,08:20:00,0,87,41,162,9,12,8,4,0,0,0,
25022020,15,72,SNR,Norte,,08:25:00,0,117,22,140,10,19,13,5,1,0,0,
