FECHA,Calle,Carrera,Movimiento ,Acceso,Salida,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,Scooter,Bicitaxi,
25022020,12,71D,SN,Sur,,06:00:00,0,1,0,0,0,0,0,0,0,0,0,
25022020,12,71D,SN,Sur,,06:05:00,0,3,1,0,4,1,1,0,0,0,0,
25022020,12,71D,SN,Sur,,06:10:00,0,6,0,0,3,0,0,0,0,0,0,
25022020,12,71D,SN,Sur,,06:15:00,0,4,1,1,5,0,1,0,0,0,0,
25022020,12,71D,SN,Sur,,06:20:00,0,6,1,1,3,0,0,0,0,0,0,
25022020,12,71D,SN,Sur,,06:25:00,0,6,1,3,1,0,0,0,0,0,0,
25022020,12,71D,SN,Sur,,06:30:00,3,9,2,8,2,0,0,0,0,0,0,
25022020,12,71D,SN,Sur,,06:35:00,0,2,1,3,1,1,0,0,0,0,0,
25022020,12,71D,SN,Sur,,06:40:00,0,9,0,3,1,1,1,0,0,0,0,
25022020,12,71D,SN,Sur,,06:45:00,2,10,0,2,4,1,1,0,0,0,0,
25022020,12,71D,SN,Sur,,06:50:00,1,6,4,7,3,1,0,0,0,0,0,
25022020,12,71D,SN,Sur,,06:55:00,1,9,1,3,1,1,0,0,0,0,0,
25022020,12,71D,SN,Sur,,07:00:00,2,8,0,12,5,0,0,3,0,0,0,
25022020,12,71D,SN,Sur,,07:05:00,3,9,3,10,1,1,1,0,0,0,0,
25022020,12,71D,SN,Sur,,07:10:00,0,16,3,17,5,0,0,2,0,0,0,
25022020,12,71D,SN,Sur,,07:15:00,0,11,3,11,4,0,0,1,0,0,0,
25022020,12,71D,SN,Sur,,07:20:00,1,12,0,10,5,0,0,1,0,0,0,
25022020,12,71D,SN,Sur,,07:25:00,2,12,0,10,4,1,0,0,0,0,0,
25022020,12,71D,SN,Sur,,07:30:00,3,19,1,13,1,1,2,1,0,0,0,
25022020,12,71D,SN,Sur,,07:35:00,4,11,0,14,4,0,0,1,0,0,0,
25022020,12,71D,SN,Sur,,07:40:00,0,9,0,12,2,0,1,0,0,0,0,
25022020,12,71D,SN,Sur,,07:45:00,1,8,1,16,3,0,1,0,0,0,0,
25022020,12,71D,SN,Sur,,07:50:00,1,13,2,3,2,0,2,0,0,0,0,
