etiqueta;acumulado;frame;tiempo;
motociclista;1.0;25222.2222222;1135
camion;1.0;29622.2222222;1333
bus;1.0;32955.5555556;1483
taxi;1.0;38066.6666667;1713
motociclista;2.0;41044.4444444;1847
particular;1.0;41244.4444444;1856
motociclista;3.0;41644.4444444;1874
bus;2.0;42288.8888889;1903
camion;2.0;43022.2222222;1936
peaton;1.0;46266.6666667;2082
peaton;2.0;46511.1111111;2093
bus;3.0;46688.8888889;2101
bus;4.0;51644.4444444;2324
particular;2.0;58511.1111111;2633
particular;3.0;74133.3333333;3336
peaton;3.0;90933.3333333;4092
peaton;4.0;93622.2222222;4213
taxi;2.0;101733.333333;4578
particular;4.0;105844.444444;4763
bus;5.0;111600.0;5022
particular;5.0;112222.222222;5050
motociclista;4.0;113133.333333;5091
taxi;3.0;113977.777778;5129
taxi;4.0;114688.888889;5161
camion;3.0;119911.111111;5396
taxi;5.0;119955.555556;5398
particular;6.0;124288.888889;5593
motociclista;5.0;125311.111111;5639
taxi;6.0;125822.222222;5662
particular;7.0;132644.444444;5969
bus;6.0;134133.333333;6036
motociclista;6.0;142200.0;6399
camion;4.0;167533.333333;7539
peaton;5.0;168533.333333;7584
particular;8.0;175311.111111;7889
particular;9.0;178244.444444;8021
motociclista;7.0;183511.111111;8258
particular;10.0;186311.111111;8384
bus;7.0;192000.0;8640
bus;8.0;194133.333333;8736
taxi;7.0;194800.0;8766
camion;5.0;198311.111111;8924
ciclista;1.0;198688.888889;8941
particular;11.0;199044.444444;8957


Conteo definitivo;ambos sentidos
etiqueta;conteo;tiempo;
peaton;5.0;450.05
particular;11.0;450.05
taxi;7.0;450.05
motociclista;7.0;450.05
bus;8.0;450.05
camion;5.0;450.05
minivan;0.0;450.05
ciclista;1.0;450.05
tractomula;0.0;450.05
scooter;0.0;450.05
bicitaxi;0.0;450.05
Fin de archivo;
AYUDA;manual  ; en ;https://docs.google.com/document/d/1Y2eYLjje2taNnJwVAONLIpsGVm4aj8_jssrNITejFd0/edit?usp=sharing
