File_Name;Year;Month;Day;Start_Time;Duration;End_Time
25 (2020-04-15 11_00_00 - 2020-04-15 14_00_00)_1.avi;2020;04;15;11:00:00;00:17:29;11:17:29
25 (2020-04-15 11_00_00 - 2020-04-15 14_00_00)_10.avi;2020;04;15;11:00:00;00:16:01;11:16:01
25 (2020-04-15 11_00_00 - 2020-04-15 14_00_00)_11.avi;2020;04;15;11:00:00;00:10:46;11:10:46
25 (2020-04-15 11_00_00 - 2020-04-15 14_00_00)_2.avi;2020;04;15;11:00:00;00:18:37;11:18:37
25 (2020-04-15 11_00_00 - 2020-04-15 14_00_00)_3.avi;2020;04;15;11:00:00;00:18:09;11:18:09
25 (2020-04-15 11_00_00 - 2020-04-15 14_00_00)_4.avi;2020;04;15;11:00:00;00:16:51;11:16:51
25 (2020-04-15 11_00_00 - 2020-04-15 14_00_00)_5.avi;2020;04;15;11:00:00;00:16:56;11:16:56
25 (2020-04-15 11_00_00 - 2020-04-15 14_00_00)_6.avi;2020;04;15;11:00:00;00:16:06;11:16:06
25 (2020-04-15 11_00_00 - 2020-04-15 14_00_00)_7.avi;2020;04;15;11:00:00;00:16:24;11:16:24
25 (2020-04-15 11_00_00 - 2020-04-15 14_00_00)_8.avi;2020;04;15;11:00:00;00:16:34;11:16:34
25 (2020-04-15 11_00_00 - 2020-04-15 14_00_00)_9.avi;2020;04;15;11:00:00;00:15:59;11:15:59
