File_Name;Year;Month;Day;Start_Time;Duration;End_Time
104 (2020-04-14 12_00_00 - 2020-04-14 14_00_00)_1.avi;2020;04;14;12:00:00;00:10:45;12:10:45
104 (2020-04-14 12_00_00 - 2020-04-14 14_00_00)_10.avi;2020;04;14;12:00:00;00:09:03;12:09:03
104 (2020-04-14 12_00_00 - 2020-04-14 14_00_00)_11.avi;2020;04;14;12:00:00;00:09:33;12:09:33
104 (2020-04-14 12_00_00 - 2020-04-14 14_00_00)_12.avi;2020;04;14;12:00:00;00:07:14;12:07:14
104 (2020-04-14 12_00_00 - 2020-04-14 14_00_00)_2.avi;2020;04;14;12:00:00;00:10:53;12:10:53
104 (2020-04-14 12_00_00 - 2020-04-14 14_00_00)_3.avi;2020;04;14;12:00:00;00:10:37;12:10:37
104 (2020-04-14 12_00_00 - 2020-04-14 14_00_00)_4.avi;2020;04;14;12:00:00;00:11:21;12:11:21
104 (2020-04-14 12_00_00 - 2020-04-14 14_00_00)_5.avi;2020;04;14;12:00:00;00:09:43;12:09:43
104 (2020-04-14 12_00_00 - 2020-04-14 14_00_00)_6.avi;2020;04;14;12:00:00;00:10:15;12:10:15
104 (2020-04-14 12_00_00 - 2020-04-14 14_00_00)_7.avi;2020;04;14;12:00:00;00:10:11;12:10:11
104 (2020-04-14 12_00_00 - 2020-04-14 14_00_00)_8.avi;2020;04;14;12:00:00;00:09:55;12:09:55
104 (2020-04-14 12_00_00 - 2020-04-14 14_00_00)_9.avi;2020;04;14;12:00:00;00:10:17;12:10:17
