FECHA,Calle,Carrera,Movimiento ,Acceso,Salida,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,Scooter,Bicitaxi,
14042020,72,AV CALI,2,Sur-S,,06:00:00,38,32,11,85,20,32,8,39,2,0,0,
14042020,72,AV CALI,2,Sur-S,,06:15:00,52,40,19,89,16,33,14,45,0,0,0,
14042020,72,AV CALI,2,Sur-S,,06:29:59,66,35,18,81,17,27,17,78,0,0,0,
14042020,72,AV CALI,2,Sur-S,,06:44:59,63,27,20,70,13,38,10,64,1,0,0,
14042020,72,AV CALI,2,Sur-S,,06:59:59,45,34,17,77,19,36,9,39,0,0,0,
14042020,72,AV CALI,2,Sur-S,,07:14:58,63,37,12,77,12,37,15,34,0,0,0,
14042020,72,AV CALI,2,Sur-S,,07:29:58,48,41,12,76,11,23,9,40,1,0,0,
14042020,72,AV CALI,2,Sur-S,,07:44:57,46,48,25,61,11,33,15,28,0,0,0,
14042020,72,AV CALI,2,Sur-S,,17:00:00,88,51,34,82,11,17,17,32,0,0,0,
14042020,72,AV CALI,2,Sur-S,,17:15:00,87,71,35,114,11,25,13,38,2,0,0,
14042020,72,AV CALI,2,Sur-S,,17:30:00,59,48,45,107,13,20,14,37,2,0,0,
14042020,72,AV CALI,2,Sur-S,,17:45:00,73,30,32,88,8,27,13,38,1,0,0,
14042020,72,AV CALI,2,Sur-S,,17:59:59,58,52,42,73,18,15,12,10,0,0,0,
14042020,72,AV CALI,2,Sur-S,,18:14:58,37,29,33,51,4,5,6,15,0,0,0,
14042020,72,AV CALI,2,Sur-S,,18:29:57,13,23,13,34,2,3,1,7,0,0,0,
14042020,72,AV CALI,2,Sur-S,,18:45:00,9,13,19,21,0,1,0,4,0,0,0,
15042020,72,AV CALI,2,Sur-S,,11:00:00,48,28,28,67,11,34,7,35,0,0,0,
15042020,72,AV CALI,2,Sur-S,,11:15:00,54,35,35,78,7,31,12,38,0,0,0,
15042020,72,AV CALI,2,Sur-S,,11:30:00,65,47,30,80,11,28,3,38,0,0,0,
15042020,72,AV CALI,2,Sur-S,,11:44:59,71,36,26,72,12,17,9,30,0,0,0,
15042020,72,AV CALI,2,Sur-S,,11:59:59,64,39,28,83,10,24,16,42,0,0,0,
15042020,72,AV CALI,2,Sur-S,,12:14:58,79,58,25,70,16,29,12,32,0,0,0,
15042020,72,AV CALI,2,Sur-S,,12:29:58,70,32,27,53,12,20,9,21,1,0,0,
15042020,72,AV CALI,2,Sur-S,,12:44:56,67,40,31,88,15,29,8,24,0,0,0,
15042020,72,AV CALI,2,Sur-S,,12:59:56,60,44,42,79,18,18,18,28,0,0,0,
15042020,72,AV CALI,2,Sur-S,,13:14:56,56,53,23,73,9,28,11,32,0,0,0,
15042020,72,AV CALI,2,Sur-S,,13:29:54,69,28,28,73,15,19,16,33,0,0,0,
15042020,72,AV CALI,2,Sur-S,,13:44:54,59,46,31,104,12,24,16,48,0,0,0,
