etiqueta;acumulado;frame;tiempo;
particular;1.0;4.66666666667;7
particular;2.0;30.0;45
motociclista;1.0;31.3333333333;47
particular;3.0;52.6666666667;79
motociclista;2.0;59.3333333333;89
bus;1.0;66.0;99
minivan;1.0;76.6666666667;115
motociclista;3.0;77.3333333333;116
particular;4.0;84.6666666667;127
motociclista;4.0;96.0;144
particular;5.0;110.0;165
taxi;1.0;120.0;180
taxi;2.0;135.333333333;203
particular;6.0;144.666666667;217
motociclista;5.0;152.666666667;229
taxi;3.0;152.666666667;229
bus;2.0;169.333333333;254
taxi;4.0;173.333333333;260
particular;7.0;175.333333333;263
taxi;5.0;183.333333333;275
camion;1.0;188.0;282
particular;8.0;209.333333333;314
motociclista;6.0;216.0;324
camion;2.0;216.666666667;325
camion;3.0;219.333333333;329
taxi;6.0;230.0;345
taxi;7.0;235.333333333;353
motociclista;7.0;240.0;360
taxi;8.0;255.333333333;383
particular;9.0;256.666666667;385
particular;10.0;258.0;387
motociclista;8.0;261.333333333;392
motociclista;9.0;274.0;411
particular;11.0;274.666666667;412
particular;12.0;283.333333333;425
motociclista;10.0;283.333333333;425
ciclista;1.0;285.333333333;428
ciclista;2.0;286.0;429
taxi;9.0;286.0;429
motociclista;11.0;290.0;435
motociclista;12.0;293.333333333;440
motociclista;13.0;294.0;441
particular;13.0;306.0;459
taxi;10.0;312.666666667;469
motociclista;14.0;312.666666667;469
bus;3.0;325.333333333;488
motociclista;15.0;331.333333333;497
particular;14.0;373.333333333;560
bus;4.0;376.666666667;565
motociclista;16.0;383.333333333;575
particular;15.0;658.666666667;988
motociclista;17.0;680.666666667;1021
motociclista;18.0;950.666666667;1426
motociclista;19.0;1204.66666667;1807
motociclista;20.0;1210.0;1815
peaton;1.0;1218.0;1827
motociclista;21.0;1259.33333333;1889
particular;16.0;1267.33333333;1901
taxi;11.0;1274.0;1911
bus;5.0;1284.66666667;1927
bus;6.0;1288.66666667;1933
particular;17.0;1314.0;1971
particular;18.0;1325.33333333;1988
camion;4.0;1340.66666667;2011
ciclista;3.0;1358.0;2037
peaton;2.0;1371.33333333;2057
particular;19.0;1400.66666667;2101
ciclista;4.0;1421.33333333;2132
motociclista;22.0;1436.66666667;2155
