FECHA,Calle,Carrera,Movimiento ,Acceso,Salida,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,Scooter,Bicitaxi,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,06:00:00,46,67,70,141,34,27,25,11,1,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,06:15:00,34,63,72,132,28,26,27,18,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,06:29:59,53,97,77,203,33,28,31,29,2,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,06:44:59,31,81,82,177,36,16,26,15,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,06:59:59,16,78,102,135,39,25,32,14,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,07:14:58,19,76,99,144,25,23,18,20,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,07:29:57,25,82,87,152,40,15,35,32,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,07:44:57,29,68,81,125,28,24,26,30,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,11:00:00,17,72,88,95,20,20,19,19,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,11:15:00,16,85,81,116,23,27,13,24,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,11:30:01,17,81,89,111,28,27,19,22,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,11:45:00,32,70,77,101,30,27,21,19,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,12:00:00,39,89,76,100,28,27,17,39,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,12:14:59,18,71,85,100,29,29,20,37,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,12:29:58,18,67,77,79,26,25,19,25,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,12:44:57,22,79,84,119,36,23,14,21,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,12:59:57,16,86,88,104,26,26,19,20,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,13:14:56,15,82,90,98,27,32,20,31,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,13:29:56,35,96,100,102,23,16,18,31,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,13:44:55,18,88,98,79,30,26,17,14,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,17:00:00,18,109,33,109,13,15,14,14,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,17:15:00,9,104,13,79,20,15,13,7,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,17:29:59,1,51,8,21,1,4,2,0,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,17:44:59,0,35,9,0,0,1,3,0,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,17:59:58,2,50,5,3,3,4,5,0,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,18:14:58,2,9,0,2,0,0,1,0,0,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,18:29:57,0,0,0,0,0,0,0,0,2,0,0,
15042020,40 SUR,PrimeroDeMayo,3 y 43,Occidente-W,,18:44:57,0,1,0,0,0,0,0,0,3,0,0,
