FECHA,Calle,Carrera,Movimiento ,Acceso,Salida,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,Scooter,Bicitaxi,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,06:00:00,17,27,15,85,30,7,3,39,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,06:15:00,102,30,16,86,30,4,4,24,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,06:30:00,135,22,26,96,43,1,7,10,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,06:44:59,158,38,34,65,37,4,5,21,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,06:59:59,137,23,38,65,32,3,9,14,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,07:14:58,172,23,50,61,35,5,4,16,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,07:29:57,167,32,40,73,37,3,8,9,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,07:44:57,139,25,33,66,35,8,7,4,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,11:00:00,111,16,47,21,37,8,5,13,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,11:15:00,97,25,36,41,27,11,3,12,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,11:29:59,64,23,47,31,22,8,1,5,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,11:44:59,67,17,36,56,28,8,6,10,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,11:59:58,122,14,38,30,26,5,0,11,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,12:14:57,105,17,48,23,24,5,5,11,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,12:29:57,148,21,36,51,32,6,4,8,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,12:44:57,110,18,36,51,25,10,8,20,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,12:59:56,152,23,43,42,24,3,6,12,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,13:14:55,54,29,40,53,28,7,14,9,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,13:29:55,43,23,39,44,36,10,9,6,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,13:44:54,56,21,43,52,30,11,8,14,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,17:00:00,45,7,34,56,32,9,8,24,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,17:15:00,31,14,36,31,29,6,3,10,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,17:29:59,22,21,29,37,24,0,2,10,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,17:44:59,17,15,11,15,19,1,0,2,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,17:59:58,26,18,9,5,12,1,0,1,0,0,0,
16042020,AVPrimeroDeMayo,CARACAS,2+92,Sur-S,,18:14:58,16,20,10,6,12,1,1,1,1,0,0,
