FECHA,Calle,Carrera,Movimiento ,Acceso,Salida,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,Scooter,Bicitaxi,
16042020,70,CHILE,4,Oriente-E,,06:00:00,15,33,11,27,14,4,8,25,0,0,0,
16042020,70,CHILE,4,Oriente-E,,06:15:00,15,16,34,39,22,3,4,21,0,0,0,
16042020,70,CHILE,4,Oriente-E,,06:30:00,21,20,31,56,16,10,9,15,0,0,0,
16042020,70,CHILE,4,Oriente-E,,06:44:59,13,15,57,45,18,7,5,21,0,0,0,
16042020,70,CHILE,4,Oriente-E,,06:59:59,20,28,60,32,21,8,8,16,0,0,0,
16042020,70,CHILE,4,Oriente-E,,07:14:58,14,20,65,22,24,13,6,18,0,0,0,
16042020,70,CHILE,4,Oriente-E,,07:29:57,21,28,79,29,20,12,2,21,0,0,0,
16042020,70,CHILE,4,Oriente-E,,07:44:56,31,26,84,36,21,13,11,20,1,0,0,
16042020,70,CHILE,4,Oriente-E,,11:00:00,85,38,87,75,19,18,10,20,0,0,0,
16042020,70,CHILE,4,Oriente-E,,11:15:00,61,38,70,66,19,14,7,25,0,0,0,
16042020,70,CHILE,4,Oriente-E,,11:30:00,94,47,67,75,19,16,10,26,0,0,0,
16042020,70,CHILE,4,Oriente-E,,11:45:00,68,35,67,64,15,20,15,20,0,0,0,
16042020,70,CHILE,4,Oriente-E,,11:59:59,92,53,64,67,27,19,15,29,1,0,0,
16042020,70,CHILE,4,Oriente-E,,12:14:58,83,45,83,77,22,23,10,25,0,0,0,
16042020,70,CHILE,4,Oriente-E,,12:29:59,79,42,69,58,17,20,17,24,0,0,0,
16042020,70,CHILE,4,Oriente-E,,12:44:58,93,43,51,63,18,14,12,25,0,0,0,
16042020,70,CHILE,4,Oriente-E,,12:59:58,70,47,73,67,24,14,13,32,0,0,0,
16042020,70,CHILE,4,Oriente-E,,13:14:57,86,39,71,70,25,17,14,23,0,0,0,
16042020,70,CHILE,4,Oriente-E,,13:29:57,83,48,68,81,8,14,17,24,0,0,0,
16042020,70,CHILE,4,Oriente-E,,13:44:57,66,55,65,85,26,13,21,20,0,0,0,
16042020,70,CHILE,4,Oriente-E,,17:00:00,58,59,53,66,18,15,14,27,0,0,0,
16042020,70,CHILE,4,Oriente-E,,17:15:00,96,61,48,83,15,4,12,34,0,0,0,
16042020,70,CHILE,4,Oriente-E,,17:30:00,52,48,55,71,26,9,8,26,0,0,0,
16042020,70,CHILE,4,Oriente-E,,17:44:59,54,85,14,46,16,5,6,33,0,0,0,
16042020,70,CHILE,4,Oriente-E,,17:59:59,52,73,39,19,16,7,1,35,0,0,0,
16042020,70,CHILE,4,Oriente-E,,18:14:59,18,4,3,4,2,0,1,1,1,0,0,
16042020,70,CHILE,4,Oriente-E,,18:29:58,14,2,0,4,0,1,0,1,0,0,0,
16042020,70,CHILE,4,Oriente-E,,18:44:57,10,1,0,1,0,0,0,2,4,0,0,
