FECHA,Calle,Carrera,Movimiento ,Acceso,Salida,Periodo,Peaton,Particular,Taxi,Motociclista,Bus,Camion,Minivan,Ciclista,Tractomula,Scooter,Bicitaxi,
16042020,51S(CARACAS),9,2,Sur-S,,06:00:00,104,50,45,140,34,10,12,49,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,06:15:00,120,43,49,166,37,17,15,64,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,06:30:00,109,37,56,135,33,9,21,50,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,06:44:59,89,38,66,133,32,11,9,47,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,06:59:58,72,37,52,107,34,10,20,38,1,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,07:14:58,101,54,58,132,43,7,17,40,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,07:29:58,70,47,68,123,33,10,12,24,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,07:44:58,71,34,59,106,37,9,1,14,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,11:00:00,74,29,62,51,20,17,8,8,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,11:15:01,94,41,59,86,34,25,6,25,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,11:30:00,80,16,48,80,28,17,7,13,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,11:44:59,92,42,74,70,31,17,5,4,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,11:59:59,83,34,63,63,23,14,12,8,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,12:14:58,76,31,59,59,30,17,13,6,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,12:29:58,78,33,71,68,27,13,13,10,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,12:44:58,107,30,65,57,26,13,6,12,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,12:59:57,97,25,62,69,27,11,12,14,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,13:14:56,53,26,61,53,31,9,10,11,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,13:29:56,59,32,65,82,25,9,7,5,1,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,13:44:56,104,37,63,69,28,17,20,8,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,17:00:00,60,33,84,80,29,13,7,6,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,17:15:01,70,32,73,75,33,7,7,18,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,17:30:00,95,20,55,63,32,9,12,6,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,17:45:00,82,27,70,49,32,5,9,9,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,17:59:59,71,30,79,22,30,8,5,3,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,18:14:58,52,62,53,7,28,6,6,6,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,18:29:57,36,63,18,11,17,4,2,2,0,0,0,
16042020,51S(CARACAS),9,2,Sur-S,,18:44:56,31,63,18,5,21,5,1,0,2,0,0,
